date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:09	31803/31803	---M-Z	200	added ('OK')	text/html	etag:W/%226300a6d2-7c3b%22	https://abhishekjha.me/	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/index.html	(from )
05:27:09	13052/13052	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226300a6d2-edf8%22	https://abhishekjha.me/robots.txt		(from )
05:27:09	1415/1415	---M-Z	200	added ('OK')	text/css	etag:W/%226300a6d2-587%22	https://abhishekjha.me/index.3df6df01.css	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/index.3df6df01.css	(from https://abhishekjha.me/)
05:27:10	23810/23810	---M-Z	200	added ('OK')	text/css	etag:W/%226300a6d2-5d02%22	https://abhishekjha.me/index.9e965a0c.css	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/index.9e965a0c.css	(from https://abhishekjha.me/)
05:27:10	18832/18832	---M-Z	200	added ('OK')	text/css	etag:W/%226300a6d2-4990%22	https://abhishekjha.me/index.b02d3196.css	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/index.b02d3196.css	(from https://abhishekjha.me/)
05:27:10	7131/7131	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226300a6d2-1bdb%22	https://abhishekjha.me/favicon.f978ef38.svg	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/favicon.f978ef38.svg	(from https://abhishekjha.me/)
05:27:11	31803/31803	---M-Z	200	added ('OK')	text/html	etag:W/%226300a6d2-7c3b%22	https://abhishekjha.me/index.html	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/index-2.html	(from https://abhishekjha.me/)
05:27:11	13400/13400	---M-Z	200	added ('OK')	text/html	etag:W/%226300a6d2-3458%22	https://abhishekjha.me/playbook.html	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/playbook.html	(from https://abhishekjha.me/)
05:27:11	56749/56749	---M--	200	added ('OK')	image/png	etag:%226300a6d2-ddad%22	https://abhishekjha.me/aei1.addc8e76.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/aei1.addc8e76.png	(from https://abhishekjha.me/)
05:27:11	22505/22505	---M--	200	added ('OK')	image/png	etag:%226300a6d2-57e9%22	https://abhishekjha.me/aei2.f4af4eea.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/aei2.f4af4eea.png	(from https://abhishekjha.me/)
05:27:11	150663/150663	---M--	200	added ('OK')	image/png	etag:%226300a6d2-24c87%22	https://abhishekjha.me/aei3.9946c78c.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/aei3.9946c78c.png	(from https://abhishekjha.me/)
05:27:12	170147/170147	---M--	200	added ('OK')	image/png	etag:%226300a6d2-298a3%22	https://abhishekjha.me/aei4.3c14b4c9.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/aei4.3c14b4c9.png	(from https://abhishekjha.me/)
05:27:12	73780/73780	---M--	200	added ('OK')	image/png	etag:%226300a6d2-12034%22	https://abhishekjha.me/aei5.5e3b3f8d.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/aei5.5e3b3f8d.png	(from https://abhishekjha.me/)
05:27:12	155919/155919	---M--	200	added ('OK')	image/png	etag:%226300a6d2-2610f%22	https://abhishekjha.me/dis1.a68a59af.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/dis1.a68a59af.png	(from https://abhishekjha.me/)
05:27:12	28483/28483	---M--	200	added ('OK')	image/png	etag:%226300a6d2-6f43%22	https://abhishekjha.me/dis2.ab5a2a48.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/dis2.ab5a2a48.png	(from https://abhishekjha.me/)
05:27:12	50812/50812	---M--	200	added ('OK')	image/png	etag:%226300a6d2-c67c%22	https://abhishekjha.me/dis3.959a693c.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/dis3.959a693c.png	(from https://abhishekjha.me/)
05:27:13	32794/32794	---M--	200	added ('OK')	image/png	etag:%226300a6d2-801a%22	https://abhishekjha.me/dis4.652c25b1.png	C:/Users/xxdsn/Downloads/new%20web/new%20website/abhishekjha.me/dis4.652c25b1.png	(from https://abhishekjha.me/)
